Wireless,N
Comfort,I had almost convinced myself of the T2i. I resisted and ended up waiting to purchase the T3i which was the best decision I made
Seat Cover Material,looking seriously at the Canon T2i and the Nikon D3100.  For the money the D3100 cant be beat.  What sold me was the guide mode.
Babies Sitting On Hard Plastic,No need for that this seat is great and my son LOVES it   He used to fuss in his carrier/ infant seat but he doesnt at all here.
Performance,Other Recommendations- Make sure to get UV filter mostly for protecting the lens and a spare battery Ive got the Opteka one for 
Shutter,Other than the ISO firmware issue it is a great camera capable of very good pictures just not in the auto point and shoot modes.
Construction,The lens makes noises when youre recording videos using the continuous auto focus function and sometimes its not very accurate. 
Comfort,  Other than the ISO firmware issue it is a great camera capable of very good pictures just not in the auto point and shoot modes
Comfort,I had almost convinced myself of the T2i. I resisted and ended up waiting to purchase the T3i which was the best decision I made.
Padding,It isnt the cheapest seat out there but for how good it is and compared to comparable seats youre getting one heck of a good deal
Seat Padding,The image sizes of the CMOS sensor allow me great latitude in adjusting and tweaking my RAW images anytime I wish to be creative.
Seat Padding,You would expect Auto Modes to take easy great pictures in an entry level camera most people coming from point and shoot cameras.
Comfortability,Fast start up speed I have caught videos with this camera seconds away from missing a fast moving skate turns on in about 1 second
Adaptability ,If you are going to use it rear facing you do need a rolled up towel or pool noodle underneath this is clear in the instruction bo
Working With Other Products,It isnt the cheapest seat out there but for how good it is and compared to comparable seats youre getting one heck of a good deal.
Stroller Compatible,es its a little difficult to install but you get the hang of it real quick. One disappointment was that the seat cover is made of a
Safety,For the money the D3100 cant be beat.  What sold me was the guide mode.  It teaches you how to set up the camera for fantastic shot
Weight,Hyundai Sonata so we have decent room in my car for the seat but weve also put it in a friends four runner and my husbands Elantra 
Safety,I had both cameras in my possession so I could make a direct comparison and decided hands-down that the T2i is the one I will keep.
Base,i went with a t3i and not a t2i for the flip around screen. i shoot in awkward positions sometimes and it defiantly comes in handy.
Comfort,It is so easy to use and install   Bonus- its wallet friendly and in this economy who wouldnt want to save a buck on a great produc
Feature Comparison,  It isnt the cheapest seat out there but for how good it is and compared to comparable seats youre getting one heck of a good deal.
Design,He seemed very comfortable in it and I liked that the extra deep side wings around the head kept his head from slumping to the side.
Features,It is so easy to use and install   Bonus- its wallet friendly and in this economy who wouldnt want to save a buck on a great product
Adjustable And Reclines,provides comfert for her. she use to always scream when even we had to go anywere but with this new saftey 1st car seat she loves it
Design,Very bulky. They fit fine in my odyssey mini van but not in my ford focus rear facing. Forward facing they fit in the smaller car ok
Ease Of Use,We started shopping around and figure that a 17in. wide infant car seat will do.  I believe this is the only one that fits our need.
Features,y used point and shoot cameras in the past and have always had fun taking pictures.  I wanted to start digital photography as a hobb
Design, not much difference betrween t2i and the t3i. for 150 bucks less I do not need a rotating screen and other minute extended features.
Install,After reading many reviews and comparisons I decided on this camera as it is the update to the Nikon D3000 that a friend of mine has.
Price,It is so easy to use and install   Bonus- its wallet friendly and in this economy who wouldnt want to save a buck on a great product 
